experiment,use_focal_loss,use_llrd,use_filtering,accuracy,f1,precision,recall
FL_LLRD_Filt,True,True,True,0.9609164420485176,0.8853754940711462,0.8296296296296296,0.9491525423728814
CE_LLRD_Filt,False,True,True,0.9743935309973046,0.9177489177489178,0.9380530973451328,0.8983050847457628
FL_NoLLRD_Filt,True,False,True,0.9595687331536388,0.8809523809523809,0.8283582089552238,0.940677966101695
FL_LLRD_NoFilt,True,True,False,0.9595687331536388,0.8809523809523809,0.8283582089552238,0.940677966101695
